q_id,query,label_status,gold_web_ids,clarify_note
2419,Не видно карту в приложении,ok,"455,1899",
2928,"Здравствуйте. Хочу положить деньги в банкомате срочно, просит пин код из 0 символов, есть только при входе в банк из 0. Как создать из четырёх?",ok,"862,1032,1068",
1098,Карта Priority Pass,need_clarify,1437,"ask_details::запрос слишком общий (“Карта Priority Pass”) — непонятно, что нужно: как оформить/подключить, условия по пакету, где работает, как пользоваться/активировать, стоимость, что делать если не пришла/не отображается и т.д."
1808,Можно записаться ко времени? Чтоб очереди не ждать ,need_clarify,,"ask_channel::Куда вы хотите записаться — в офис банка, на получение/доставку карты или на консультацию по продукту? И в каком городе?"
4403,Здравствуйте. Что за привелегия на сентябрь? Дополнительно кэшбэк кафе рестораны по бизнес карте,need_clarify,"60,619,1201","ask_details::Уточните, по какой именно бизнес-карте и тарифу действует «привилегия сентября» — акции и категории кэшбэка отличаются, без этого нельзя точно сказать, что за допкэшбэк на кафе и рестораны."
5750,"Добрый день, если оплата с кредитки идет как онлайн оплата допустим курсов, тогда есть комиссия какая нибудь?",need_clarify,1,5
1607,"Здравствуйте! Подскажите, как найти название отделение банка ",need_clarify,,"ask_details::Неясно, какое “название отделения” нужно (для реквизитов/платежа или конкретного офиса); в выдаче нет явного источника с названиями офисов."
5745,Оплата коммунальных услуг беспроцентные период ,ok,"1040,1757,1776",
1444,"Я плачу Альфа Пэй, но ничего не начисления.",need_clarify,,"ask_details::Не указано, какие именно начисления ожидаются (кэшбэк/бонусы/акция), по какой карте и за какой период при оплате через Alfa Pay."
3347,Госуведомления,need_clarify,,"ask_details::Не уточнено, о каких госуведомлениях речь: получение уведомлений от Госуслуг, подключение/отключение сервиса, вид уведомлений или канал доставки (СМС, push, чат)."
2334,Отключить переводы на карту по сбп,ok,292,
4039,Добрый день. Подала заявку на закрытие счета кредитной карты. На счете есть 0000 р собственных средств. Как их вывести со счета?,need_clarify,,"how_to_do|route_support::уточните, оформлено ли уже закрытие карты и где удобнее вывести собственные средства (приложение/отделение), остаток после списаний подтверждён."
1478,"Добрый день, заказывал новую карту, хочу узнать она уже в отделении? Или еще ждать?",ok,1526,
1787,"Добрый день, банк оповестил, что я скоро перестану быть зарплатным клиентом, но в бухгалтерии организации такой информации нет, в связи с чем такое оповещение?",need_clarify,,"ask_details|route_support::уточните, какое уведомление пришло и по какому зарплатному проекту; статус проверяется по данным работодателя и банка"
1967,"Здравствуйте, подскажите, у меня были кредитный лимит на картах, я его истратил, долг закрыл , новый кредитный лимит будет на них появляется ?",need_clarify,,ask_details::уточнить тип карты (кредитная/несколько карт) и статус лимита; лимит может восстановиться автоматически или пересматриваться банком индивидуально
6245,не получается поменять номер телефона для привязки платежей спб,ok,"292,1704,1705,1762",
231,Куда уходят пополнения?,need_clarify,,ask_channel|ask_details|ask_product::Это пополнение чего (карта/счёт/вклад/кредит)? Каким способом пополняли? Что именно произошло (не зачислилось/не туда/в обработке)?
3574,"То есть только картой, а мирпэй?",ok,"291,1533,1539",
3495,"Здравствуйте! Оформлял кредит. На данном шаге приложение зависло. Не понимаю, что теперь делать",need_clarify,862,"ask_details|route_support::Уточните, на каком шаге зависло (анкета/документы/подписание/ожидание решения). Если повторяется — обращение в поддержку/телефонный центр."
2125,Не показывает номер карты,no_answer,,
4392,"Добрый день! Подскажите, есть ли какая-то скидка при покупке бизнес лаунжа в аэропорту Домодедово клиенту Альфа Банка",need_clarify,"118,863,865,1747","ask_product::Уточните, у вас премиум (Alfa Only / Travel / Aeroflot) или обычная карта: скидки/компенсации за бизнес-залы зависят от пакета. Для уточнения условий можно обратиться в «Альфа-Консультант»."
734,Почему не отображается сумма,need_clarify,"109,862,1543","ask_details::Уточните, где именно не видно сумму: баланс карты/счёта, сумма операции, сумма перевода, кэшбэк/выплата, инвестиции (QUIK). Если срочно — через «Альфа-Консультант» помогут проверить."
1104,Рекомендация счёт для инвестиций,need_clarify,"451,1080,1086,1293,1790","ask_details::Уточните, что именно вы хотите: брокерский счёт или ИИС, и для каких целей (долгосрок / налоговый вычет / активная торговля)."
1062,Как подключить альфа ld,need_clarify,,"ask_details::Уточните, что вы имеете в виду под «альфа ld» — название услуги/продукта указано неясно."
178,Муж выпустил на меня карту но она не отображается в кабинете,need_clarify,,ask_details|how_to_check|route_support::Уточните: где не отображается карта и какая (дополнительная/виртуальная)?
684,Замена пароля,need_clarify,"692,846,1277,1601,1726","ask_channel|ask_product::Уточните, где хотите сменить пароль (Альфа-Бизнес/интернет-эквайринг/Альфа-Инвестиции) и какой именно пароль (временный/первичный/для входа)."
2918,Оценка 0,need_clarify,1715,"ask_details::Уточните, что значит «оценка 0»: оценка обслуживания/приложения/сделки/кредитного скоринга или результат анкеты/профиля инвестора."
1003,Статус карты,need_clarify,"862,1489,1621","ask_channel|ask_details::Уточните, о каком статусе карты идёт речь (активна/заблокирована/выпущена/доставляется) и где вы его проверяете — в приложении, Альфа-Онлайн или по телефону."
4241,Добрый день! Я бы хотела уточнить о снижении процентной ставки по моему кредиту,need_clarify,"259,1055","ask_details|ask_product::Уточните, по какому кредиту вы хотите снизить ставку (ипотека/потребительский/кредитная карта) и что изменилось в вашей ситуации (страховка, доход, рефинансирование)."
6127,Здравствуйте! Хочу настроить автоплатёж в приложении мой налог.  Не приходит код подтверждения. ,need_clarify,"321,862","ask_channel|ask_details|route_support::Уточните, куда именно не приходит код (в «Мой налог» при привязке карты/автоплатеже или SMS от банка) и какая карта/телефон привязаны — если это банковский код, обратитесь в поддержку."
5596,Подскажите через сколько дебетовая карта с Именем и Фамилией будет перевыпущена ,need_clarify,"862,1907","ask_channel|ask_details::Уточните, как оформляете перевыпуск (в приложении/Альфа-Онлайн/в отделении) и причина перевыпуска — сроки зависят от способа получения и типа карты."
643,Кэшбэк альфа Трэвел ,ok,"4,794,1313",
2285,Где посмотреть счет привязанный к карте,ok,"1528,1906",
1927,Где найти расчетный счёт карты,need_clarify,"368,1157,1607","ask_details|ask_product::Уточните, речь про карту физлица в приложении Альфа-Банк или про бизнес-карту/РКО: где именно смотрите (приложение/интернет-банк)."
1321,мне сейчас сотрудник альфастрахования утверждает что вы некомпетентны и ставка может повыситься и если она повысится это будет на моей ответственности,need_clarify,"259,1875","ask_details|ask_product|docs_policy::Похоже на кейс по кредиту со страховкой: ставка может вырасти при просрочке/непринятии полиса. Нужен контекст: тип кредита (ипотека/потреб/авто), вид страховки, что случилось (не продлён/не подходит/куплен не там)."
5431,Могу ли я как оо поставит запрет на снятия этой подписки? Или только перевыпуск карты?,need_clarify,"1760,1761,1907",ask_details::Вопрос про остановку списаний по подписке: можно ли ограничить операции/платежи по карте или нужен перевыпуск.
5079,подключить сбп,ok,"292,692,1722",
394,По каким операциям,need_clarify,"169,819,932,1027",ask_channel|ask_details|ask_product::Кэшбэк по QR зависит от типа оплаты: если это СБП/перевод по QR — часто кэшбэка нет; если QR ведёт на оплату покупки у продавца (эквайринг/карта) — может быть. Нужен тип QR (СБП или оплата картой у мерчанта).
6934,Якобы проверить работают ли операции,need_clarify,862,"ask_details|route_support|security_urgent::Фраза выглядит как возможный мошеннический звонок («проверить, работают ли операции»). Уточнить: кто звонит (банк/не банк), что просят сделать (платёж/код/данные). Рекомендация — прекратить разговор и обратиться в официальный контакт-центр."
3957,Сегодня произведён платёж 0 000 ₽. Прошу зачесть его в счёт основного долга и процентов по кредиту. Следующий платёж планирую внести в установленном ранее порядке,need_clarify,862,"ask_channel|how_to_do|route_support::Это обращение/заявление по кредиту (зачесть платёж в счёт долга). Нужно уточнить, куда и как подать: в чате/приложении, по телефону или через офис; возможны правила автозачёта. Рекомендован официальный канал поддержки"
5007,"Отключить все уведомления , и вернуть деньги за списание ",ok,"862,1924",
5329,"Здравствуйте, когда закроют кредит ",need_clarify,,"ask_details|how_to_check|route_support::Вопрос слишком общий. Нужно уточнить: какой кредит (ипотека/потреб/карта), есть ли досрочное погашение, когда был последний платёж. Статус и дату закрытия можно проверить в приложении или через поддержку."
6132,Как заправиться и расчищаться альфа заправка,need_clarify,"1704,1705","ask_details|how_to_do::Речь про сервис «Альфа-Заправки». Нужно уточнить: где заправляется (АЗС-партнёр), чем платит (карта/Alfa Pay), и что именно не получается — заправиться или рассчитаться. Инструкция зависит от сценария."
2506,Добрый день. Прошу проверить поступление денежных средств в счёт погашения долга по кредитной карте.,need_clarify,"862,886","ask_details::Персональная проверка зачисления по кредитке: в справке/Альфа-Онлайн → «Кредиты» смотрите статус платежа; если не отразился — обращение в поддержку/Альфа-Консультант с датой, суммой и способом платежа (без ПДн)."
6253,Добрый день! Как подтвердить номер телефона?,ok,"114,862",
1600,Перевод собственных средств с кредитной карты,ok,"165,938,1704,1705",
1243,Какая карта пластиковая,ok,"1629,1745",
6345,Оценка 0.,need_clarify,,"ask_details::Запрос слишком короткий и без контекста (“Оценка 0.”) — непонятно, что именно оценивается: кэшбэк/категория, комиссия/списание, кредитный скоринг, оценка качества сервиса, оценка заявки/лимита и т.д. Нужны детали (какой продукт/раздел и что значит «0»)."
5267,Хотите сказать что мне нельзя пользоваться с этой картой,need_clarify,1536,"ask_details|route_support::Похоже на реакцию на отказ/ограничение по карте. Нужно уточнить, что именно не проходит (платёж/снятие/перевод), где (онлайн/оффлайн), и есть ли уведомление о причине. Ограничения могут быть временными (лимиты, идентификация, тип операции); для точной причины — обращение в поддержку."
2987,Посмотреть баланс,need_clarify,"87,891",ask_details|route_support::Запрос “баланс” слишком общий — уточните продукт (карта/счёт/кредит/бизнес). Обычно баланс смотрят в приложении/Альфа-Онлайн; если не получается — в поддержку.
3026,"Добрый вечер, я перевел пенсию в альфа банк. По условиям первую 0000 руб из 0000 должны были начислить после одобрения СФР заявления. Уже в пятницу заявление было одобрено, но деньги не поступили.",need_clarify,"125,423,1244","route_support::Персональный кейс про перевод пенсии/вознаграждение: сроки зависят от даты подачи заявления и первого фактического зачисления пенсии. Если СФР уже одобрил, но деньги/бонус не пришли — лучше написать в поддержку с датой одобрения и условиями акции (без персональных данных)."
4631,Я про инвест копилку говорю,ok,1279,
1421,Как вынести иконку банкана экран телефона ?,need_clarify,"46,811,1277",how_to_do::Нужно уточнить ОС (iOS / Android) и что именно хотят вынести: иконку приложения или ярлык веб-версии (онлайн-банк / инвестиции).
1895,Как установить пароль на вход в приложение,need_clarify,"116,1704,1705,1758","ask_product::Уточните, в какое приложение ставите пароль на вход: Альфа-Банк (Альфа-Онлайн), Альфа-Инвестиции или Альфа-Бизнес."
1731,Как разрешить переводы по сбп?,ok,"292,1555,1617",
80,У этого номера заблокирован счёт.,need_clarify,"862,1600","ask_product::Непонятно, о каком счёте речь: карта, вклад, брокерский или бизнес-счёт. Уточни продукт и где видишь блокировку (приложение/онлайн/сообщение)."
3033,Я сделал перевод пенсии и хочу узнать получилось или нет?,ok,"125,423,862,1244",
1373,Почему кредитная карта с процентами?,ok,"164,1026,1041,1049",
6004,Посмотреть график платежей для беспроцентного периода,need_clarify,"921,1026,1029",how_to_check::В Альфа-Банке нет отдельного «графика платежей» именно для беспроцентного периода по кредитной карте — есть даты минимального платежа и окончания грейс-периода. Поэтому запрос не имеет прямого ответа по базе.
1079,Здравствуйте! Планирую оплачивать сплав за группу людей. Организатор прислал куаркод. Будет ли кэшбек при такой оплате?,need_clarify,"339,862,1516,1655",ask_channel|ask_details::Кэшбэк зависит от типа QR: при оплате через СБП часто не начисляется; при QR-эквайринге — зависит от МСС продавца. Нужны детали способа оплаты.
713,Где я могу найти БИК банка ?,ok,1570,
6561,Нет смс,need_clarify,"454,455",how_to_check::Не приходят SMS-коды/уведомления: проверьте настройки уведомлений и номер в профиле; если не помогает — обращение в поддержку.
6085,"Добрый вечер. Спишите мне 00000 рублей, в счет поглощения основного кредита",need_clarify,862,route_support::Запрос на списание в счёт основного долга — персональная операция. Такое оформляется через поддержку/приложение; сумму и продукт нужно уточнять у банка.
4254,Какой на сегодня процент на потребительский кредит,ok,"198,214",
1881,"Оформила кредитную карту. В онлайн банке не отображается, что кредит одобрен...",need_clarify,"862,1034","ask_details::Уточните, пожалуйста: какую именно кредитную карту оформили, когда подали заявку и где смотрите статус (приложение/Альфа-Онлайн/сайт). Пришло ли SMS/звонок об одобрении и получили ли/активировали карту?"
3186,Как оплачивать покупки по спб с моей кредитной карты?,ok,"163,165,1655",
1288,"Здравствуйте, если у меня просрочки по платежам на кридитной карте, при этом я погашу её полностью, смогу ли я ей пользоваться в дальнейшем, и не изменится ли лимит по карте?",need_clarify,,"ask_details::После полного погашения обычно можно продолжать пользоваться кредиткой, но банк может временно ограничить операции или пересмотреть лимит. Уточните, какая у вас кредитная карта и что сейчас с ней (активна/заблокирована) — просрочка уже полностью закрыта или ещё есть начисления (проценты/штрафы)."
4990,Когда придёт 0000 рублей за перевод пенсии,need_clarify,125,"ask_details::Выплата/бонус за перевод пенсии приходит не мгновенно и зависит от условий акции и даты фактического зачисления первой пенсии. Уточните, речь про бонус за перевод пенсии или про саму пенсию, и когда подали заявление/когда пришло первое зачисление — подберём точный ответ по правилам."
4914,Поменять менеджера на Горкунову Дарью.,need_clarify,862,"ask_product|route_support::Смена персонального менеджера оформляется через поддержку/контакт-центр; обратитесь в Альфа-Консультант и укажите, какого менеджера хотите."
3251,отключить кешбек,ok,"862,1553",
5595,Почему на мне оформлена кредитная карта,need_clarify,1030,"security_urgent::Похоже на риск несанкционированного оформления: срочно проверьте в приложении/Альфа-Онлайн список продуктов и договоры/уведомления, заблокируйте карту (если видите её) и сразу свяжитесь с поддержкой, чтобы зафиксировать обращение и проверить заявку/выпуск."
2441,В истории платежи по данному контрагенту,need_clarify,"87,1704,1705","ask_channel::Неясно, в каком канале смотрите историю и как идентифицируете контрагента (название/ИНН/счёт). Обычно ищется через поиск/фильтр по получателю."
2992,Как узнать какая сумма была у меня на счёте 00.00.00 ?,need_clarify,"862,1573","ask_channel|ask_details|ask_product::Уточните, за какой счёт и где хотите посмотреть (приложение/Альфа-Онлайн). Обычно сумму на дату смотрят в выписке/истории операций за период или запрашивают справку у поддержки."
409,Мне нужна вся история платежей совершенные по QR коду,need_clarify,"109,292,718,862,1655,1704,1705","ask_channel|ask_details::История платежей по QR — это выписка/фильтр в конкретном канале; нужно уточнить где и за какой период, поэтому роут в справку + поддержку."
